entity_id,state,last_changed
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:00:00.000Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:10:28.760Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:10:33.768Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:10:42.113Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:10:52.112Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:10:57.176Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:11:02.167Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:11:11.807Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:11:16.801Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:11:41.473Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:11:46.475Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:11:51.849Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:11:56.844Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:12:08.165Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:12:13.165Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:12:30.400Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:12:35.409Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:12:51.194Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:12:56.159Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:13:22.326Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:13:27.329Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:14:09.747Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:14:14.752Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:14:26.070Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:14:45.371Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:14:50.368Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:14:55.368Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:15:00.408Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:15:10.412Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:15:19.508Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:15:24.504Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:15:35.824Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:15:40.837Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:16:12.882Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:16:17.889Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:20:02.886Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:20:07.889Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:20:35.505Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:20:40.523Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:21:16.986Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:21:21.984Z
sensor.elmatare_diskmaskin_current,0.034,2025-05-20T16:28:59.686Z
sensor.elmatare_diskmaskin_current,0.033,2025-05-20T16:29:04.722Z
sensor.elmatare_diskmaskin_current,0.038,2025-05-20T16:45:02.248Z
sensor.elmatare_diskmaskin_current,0.039,2025-05-20T16:45:07.243Z
sensor.elmatare_diskmaskin_current,0.101,2025-05-20T16:45:12.243Z
sensor.elmatare_diskmaskin_current,0.143,2025-05-20T16:45:17.253Z
sensor.elmatare_diskmaskin_current,0.153,2025-05-20T16:45:22.246Z
sensor.elmatare_diskmaskin_current,0.128,2025-05-20T16:45:32.249Z
sensor.elmatare_diskmaskin_current,0.057,2025-05-20T16:45:37.247Z
sensor.elmatare_diskmaskin_current,0.06,2025-05-20T16:45:47.283Z
