entity_id,state,last_changed
sensor.elmatare_diskmaskin_current,0.033,2025-05-18T13:00:00.000Z
sensor.elmatare_diskmaskin_current,0.038,2025-05-18T14:37:16.055Z
sensor.elmatare_diskmaskin_current,0.041,2025-05-18T14:37:21.062Z
sensor.elmatare_diskmaskin_current,0.066,2025-05-18T14:37:26.062Z
sensor.elmatare_diskmaskin_current,0.158,2025-05-18T14:37:31.114Z
sensor.elmatare_diskmaskin_current,0.154,2025-05-18T14:37:36.058Z
sensor.elmatare_diskmaskin_current,0.153,2025-05-18T14:37:41.059Z
sensor.elmatare_diskmaskin_current,0.046,2025-05-18T14:37:46.081Z
sensor.elmatare_diskmaskin_current,0.042,2025-05-18T14:37:51.085Z
sensor.elmatare_diskmaskin_current,0.04,2025-05-18T14:37:56.194Z
sensor.elmatare_diskmaskin_current,0.041,2025-05-18T14:38:03.627Z
sensor.elmatare_diskmaskin_current,0.053,2025-05-18T14:38:08.628Z
sensor.elmatare_diskmaskin_current,0.064,2025-05-18T14:38:13.621Z
sensor.elmatare_diskmaskin_current,0.112,2025-05-18T14:38:18.627Z
sensor.elmatare_diskmaskin_current,0.058,2025-05-18T14:38:23.702Z
sensor.elmatare_diskmaskin_current,0.056,2025-05-18T14:38:28.681Z
sensor.elmatare_diskmaskin_current,0.08,2025-05-18T14:38:33.743Z
sensor.elmatare_diskmaskin_current,0.081,2025-05-18T14:38:39.398Z
sensor.elmatare_diskmaskin_current,0.077,2025-05-18T14:38:44.373Z
sensor.elmatare_diskmaskin_current,0.079,2025-05-18T14:38:49.368Z
sensor.elmatare_diskmaskin_current,0.04,2025-05-18T14:38:54.394Z
sensor.elmatare_diskmaskin_current,0.167,2025-05-18T14:38:59.382Z
sensor.elmatare_diskmaskin_current,0.147,2025-05-18T14:39:04.373Z
sensor.elmatare_diskmaskin_current,0.146,2025-05-18T14:39:09.437Z
sensor.elmatare_diskmaskin_current,0.145,2025-05-18T14:39:14.424Z
sensor.elmatare_diskmaskin_current,0.144,2025-05-18T14:39:19.379Z
sensor.elmatare_diskmaskin_current,0.143,2025-05-18T14:39:24.427Z
sensor.elmatare_diskmaskin_current,0.142,2025-05-18T14:39:32.881Z
sensor.elmatare_diskmaskin_current,0.178,2025-05-18T14:39:37.865Z
sensor.elmatare_diskmaskin_current,0.315,2025-05-18T14:39:42.852Z
sensor.elmatare_diskmaskin_current,0.239,2025-05-18T14:39:47.875Z
sensor.elmatare_diskmaskin_current,0.248,2025-05-18T14:39:52.857Z
sensor.elmatare_diskmaskin_current,0.18,2025-05-18T14:39:57.845Z
sensor.elmatare_diskmaskin_current,0.203,2025-05-18T14:40:02.981Z
sensor.elmatare_diskmaskin_current,0.221,2025-05-18T14:40:07.904Z
sensor.elmatare_diskmaskin_current,0.391,2025-05-18T14:40:12.923Z
sensor.elmatare_diskmaskin_current,0.395,2025-05-18T14:40:17.914Z
